,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,4,115
1,05:00:01-06:00:00,4,75
2,06:00:01-07:00:00,10,363
3,07:00:01-08:00:00,12,671
4,08:00:01-09:00:00,10,832
5,09:00:01-10:00:00,13,862
6,10:00:01-11:00:00,9,620
7,11:00:01-12:00:00,7,509
8,12:00:01-13:00:00,5,455
9,13:00:01-14:00:00,3,443
10,14:00:01-15:00:00,9,446
11,15:00:01-16:00:00,4,544
12,16:00:01-17:00:00,6,435
13,17:00:01-18:00:00,9,654
14,18:00:01-19:00:00,9,727
15,19:00:01-20:00:00,7,952
16,20:00:01-21:00:00,10,651
17,21:00:01-22:00:00,13,564
18,22:00:01-23:00:00,8,409
19,23:00:01-24:00:00,3,246
