,,Hour,Minutes,Bus Tag
Up,0,4,0,1
Up,1,6,0,2
Up,2,6.0,45.0,3.0
Up,3,7.0,15.0,4.0
Up,4,7.0,30.0,5.0
Up,5,7.0,45.0,6.0
Up,6,8.0,0.0,3.0
Up,7,9.0,0.0,1.0
Up,8,9.0,30.0,2.0
Up,9,10.0,0.0,6.0
Up,10,10.0,30.0,4.0
Up,11,10.0,45.0,5.0
Up,12,12.0,0.0,1.0
Up,13,13.0,0.0,3.0
Up,14,13.0,30.0,2.0
Up,15,14.0,0.0,6.0
Up,16,14.0,30.0,4.0
Up,17,14.0,45.0,1.0
Up,18,14.0,53.0,5.0
Up,19,15.0,0.0,3.0
Up,20,15.0,30.0,6.0
Up,21,16.0,0.0,2.0
Up,22,17.0,0.0,4.0
Up,23,18.0,0.0,1.0
Up,24,18.0,30.0,5.0
Up,25,20.0,0.0,3.0
Up,26,20.0,30.0,6.0
Up,27,20.0,45.0,2.0
Up,28,21.0,0.0,4.0
Up,29,23.0,0.0,1.0
Up,30,,Total Buses required:,5.0
Down,0,4,0,2
Down,1,7.0,5.0,3.0
Down,2,7,45.0,1
Down,3,7,53.0,2
Down,4,8.0,5.0,6.0
Down,5,8,30.0,4.0
Down,6,8,45.0,5.0
Down,7,9.0,20.0,1.0
Down,8,9,45.0,3.0
Down,9,10,53.0,2.0
Down,10,11,0,6.0
Down,11,11,30.0,4.0
Down,12,12.0,20.0,1.0
Down,13,12,30.0,5.0
Down,14,13.0,20.0,3.0
Down,15,14.0,20.0,6.0
Down,16,14.0,57.0,2.0
Down,17,15.0,45.0,4.0
Down,18,16.0,30.0,1.0
Down,19,16.0,45.0,5.0
Down,20,17.0,30.0,3.0
Down,21,17.0,45.0,6.0
Down,22,18.0,45.0,2.0
Down,23,19.0,0.0,4.0
Down,24,20.0,53.0,1.0
Down,25,21.0,30.0,5.0
Down,26,21.0,45.0,3.0
Down,27,22.0,0.0,6.0
Down,28,22.0,30.0,2.0
Down,29,22.0,45.0,4.0
Down,30,22.0,57.0,7.0
Down,31,23.0,20.0,1.0
Down,32,,Total Buses required:,2.0
Summary,0,,Total Buses required on route:,7.0
