,,Hour,Minutes,Bus Tag
Up,0,4,0,1
Up,1,7,0,2
Up,2,8.0,0.0,2.0
Up,3,8.0,30.0,1.0
Up,4,9.0,0.0,2.0
Up,5,10.0,0.0,2.0
Up,6,11.0,0.0,1.0
Up,7,11.0,30.0,2.0
Up,8,12.0,0.0,3.0
Up,9,12.0,30.0,1.0
Up,10,13.0,0.0,2.0
Up,11,13.0,30.0,3.0
Up,12,14.0,0.0,1.0
Up,13,15.0,0.0,2.0
Up,14,16.0,0.0,1.0
Up,15,16.0,30.0,3.0
Up,16,17.0,0.0,2.0
Up,17,18.0,0.0,4.0
Up,18,19.0,30.0,5.0
Up,19,22.0,0.0,1.0
Up,20,23.0,0.0,3.0
Up,21,,Total Buses required:,2.0
Down,0,4,0,2
Down,1,7,20,2
Down,2,7,30.0,1
Down,3,8.0,20.0,2.0
Down,4,9.0,20.0,2.0
Down,5,9.0,30.0,1.0
Down,6,10.0,20.0,2.0
Down,7,10.0,45.0,3.0
Down,8,11.0,20.0,1.0
Down,9,11.0,50.0,2.0
Down,10,12.0,20.0,3.0
Down,11,12.0,50.0,1.0
Down,12,13.0,20.0,2.0
Down,13,14.0,20.0,1.0
Down,14,14.0,30.0,3.0
Down,15,15.0,20.0,2.0
Down,16,15.0,45.0,4.0
Down,17,20.0,0.0,1.0
Down,18,22.0,30.0,3.0
Down,19,,Total Buses required:,3.0
Summary,0,,Total Buses required on route:,5.0
