,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,1,22
1,05:00:01-06:00:00,1,16
2,06:00:01-07:00:00,2,49
3,07:00:01-08:00:00,3,55
4,08:00:01-09:00:00,2,65
5,09:00:01-10:00:00,1,109
6,10:00:01-11:00:00,1,26
7,11:00:01-12:00:00,2,126
8,12:00:01-13:00:00,2,43
9,13:00:01-14:00:00,1,66
10,14:00:01-15:00:00,3,73
11,15:00:01-16:00:00,1,36
12,16:00:01-17:00:00,1,71
13,17:00:01-18:00:00,3,78
14,18:00:01-19:00:00,3,70
15,19:00:01-20:00:00,1,102
16,20:00:01-21:00:00,2,83
17,21:00:01-22:00:00,2,85
18,22:00:01-23:00:00,0,8
19,23:00:01-24:00:00,,
