,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,,
1,05:00:01-06:00:00,4,22
2,06:00:01-07:00:00,1,168
3,07:00:01-08:00:00,5,164
4,08:00:01-09:00:00,7,453
5,09:00:01-10:00:00,5,256
6,10:00:01-11:00:00,4,72
7,11:00:01-12:00:00,5,135
8,12:00:01-13:00:00,2,105
9,13:00:01-14:00:00,3,125
10,14:00:01-15:00:00,3,92
11,15:00:01-16:00:00,2,80
12,16:00:01-17:00:00,1,44
13,17:00:01-18:00:00,2,43
14,18:00:01-19:00:00,3,114
15,19:00:01-20:00:00,1,130
16,20:00:01-21:00:00,2,120
17,21:00:01-22:00:00,4,89
18,22:00:01-23:00:00,0,13
19,23:00:01-24:00:00,,
