,,Hour,Minutes,Bus Tag
Up,0,4,0,1
Up,1,5,0,2
Up,2,6.0,15.0,3.0
Up,3,6.0,30.0,4.0
Up,4,6.0,45.0,5.0
Up,5,7.0,20.0,6.0
Up,6,7.0,40.0,7.0
Up,7,8.0,20.0,8.0
Up,8,8.0,40.0,9.0
Up,9,9.0,30.0,10.0
Up,10,10.0,0.0,1.0
Up,11,11.0,30.0,11.0
Up,12,12.0,20.0,12.0
Up,13,12.0,40.0,13.0
Up,14,13.0,20.0,14.0
Up,15,13.0,40.0,15.0
Up,16,14.0,20.0,16.0
Up,17,14.0,40.0,17.0
Up,18,15.0,30.0,18.0
Up,19,16.0,30.0,19.0
Up,20,17.0,20.0,20.0
Up,21,17.0,40.0,21.0
Up,22,18.0,20.0,22.0
Up,23,18.0,40.0,23.0
Up,24,20.0,30.0,24.0
Up,25,21.0,30.0,25.0
Up,26,,Total Buses required:,24.0
Down,0,4,0,2
Down,1,9,30.0,1
Down,2,,Total Buses required:,1.0
Summary,0,,Total Buses required on route:,25.0
