,,Hour,Minutes,Bus Tag
Up,0,4,0,1
Up,1,5,0,2
Up,2,6,0,1
Up,3,6,30.0,2
Up,4,6.0,53.0,3.0
Up,5,7,0,1
Up,6,7.0,10.0,2.0
Up,7,7.0,17.0,4.0
Up,8,7.0,45.0,5.0
Up,9,8.0,0.0,3.0
Up,10,8.0,30.0,1.0
Up,11,8.0,45.0,2.0
Up,12,8.0,53.0,4.0
Up,13,9.0,0.0,5.0
Up,14,9.0,10.0,1.0
Up,15,9.0,30.0,3.0
Up,16,10.0,0.0,6.0
Up,17,10.0,30.0,2.0
Up,18,11.0,0.0,4.0
Up,19,11.0,5.0,5.0
Up,20,12.0,0.0,1.0
Up,21,13.0,0.0,3.0
Up,22,14.0,0.0,6.0
Up,23,15.0,0.0,2.0
Up,24,16.0,0.0,4.0
Up,25,17.0,0.0,5.0
Up,26,17.0,30.0,1.0
Up,27,18.0,0.0,3.0
Up,28,19.0,0.0,6.0
Up,29,20.0,0.0,2.0
Up,30,21.0,0.0,4.0
Up,31,22.0,0.0,5.0
Up,32,,Total Buses required:,3.0
Down,0,4,0,2
Down,1,4,20,1
Down,2,5,20,2
Down,3,6,20,1
Down,4,6.0,50.0,2.0
Down,5,6.0,57.0,4.0
Down,6,7.0,13.0,3.0
Down,7,7,20,1
Down,8,7.0,30.0,2.0
Down,9,7.0,37.0,4.0
Down,10,8.0,5.0,5.0
Down,11,8.0,20.0,3.0
Down,12,8.0,50.0,1.0
Down,13,8.0,59.0,6.0
Down,14,9.0,5.0,2.0
Down,15,9.0,13.0,4.0
Down,16,10,45.0,5.0
Down,17,10,53.0,1.0
Down,18,11,30.0,3.0
Down,19,11,45.0,6.0
Down,20,12,30.0,2.0
Down,21,12,45.0,4.0
Down,22,13,30.0,5.0
Down,23,14,30.0,1.0
Down,24,15,30.0,3.0
Down,25,16,30.0,6.0
Down,26,17,45.0,2.0
Down,27,18,30.0,4.0
Down,28,19,30.0,5.0
Down,29,20,30.0,1.0
Down,30,20,45.0,3.0
Down,31,21,30.0,6.0
Down,32,22,30.0,2.0
Down,33,,Total Buses required:,3.0
Summary,0,,Total Buses required on route:,6.0
