,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,,
1,05:00:01-06:00:00,3,27
2,06:00:01-07:00:00,10,208
3,07:00:01-08:00:00,10,359
4,08:00:01-09:00:00,8,362
5,09:00:01-10:00:00,4,367
6,10:00:01-11:00:00,8,199
7,11:00:01-12:00:00,7,234
8,12:00:01-13:00:00,3,238
9,13:00:01-14:00:00,2,47
10,14:00:01-15:00:00,5,59
11,15:00:01-16:00:00,2,66
12,16:00:01-17:00:00,2,146
13,17:00:01-18:00:00,1,137
14,18:00:01-19:00:00,1,74
15,19:00:01-20:00:00,1,168
16,20:00:01-21:00:00,1,244
17,21:00:01-22:00:00,1,177
18,22:00:01-23:00:00,1,122
19,23:00:01-24:00:00,0,38
