,,Hour,Minutes,Bus Tag
Up,0,4,0,1
Up,1,5,0,2
Up,2,5.0,45.0,3.0
Up,3,6.0,15.0,4.0
Up,4,6.0,30.0,5.0
Up,5,6.0,45.0,6.0
Up,6,7.0,5.0,1.0
Up,7,7.0,13.0,2.0
Up,8,7.0,30.0,7.0
Up,9,8.0,0.0,3.0
Up,10,8.0,5.0,4.0
Up,11,9.0,0.0,5.0
Up,12,9.0,5.0,1.0
Up,13,9.0,30.0,6.0
Up,14,10.0,0.0,2.0
Up,15,10.0,5.0,7.0
Up,16,11.0,0.0,3.0
Up,17,11.0,30.0,4.0
Up,18,12.0,0.0,5.0
Up,19,12.0,30.0,1.0
Up,20,13.0,0.0,3.0
Up,21,13.0,30.0,6.0
Up,22,14.0,0.0,4.0
Up,23,14.0,30.0,2.0
Up,24,14.0,45.0,7.0
Up,25,15.0,0.0,5.0
Up,26,16.0,0.0,1.0
Up,27,16.0,30.0,8.0
Up,28,16.0,45.0,3.0
Up,29,16.0,53.0,6.0
Up,30,17.0,0.0,9.0
Up,31,17.0,30.0,4.0
Up,32,17.0,45.0,2.0
Up,33,18.0,0.0,10.0
Up,34,18.0,30.0,7.0
Up,35,18.0,45.0,5.0
Up,36,19.0,0.0,11.0
Up,37,19.0,30.0,1.0
Up,38,20.0,0.0,8.0
Up,39,20.0,30.0,3.0
Up,40,20.0,45.0,6.0
Up,41,20.0,53.0,9.0
Up,42,21.0,0.0,4.0
Up,43,,Total Buses required:,6.0
Down,0,4,0,2
Down,1,6,45.0,1
Down,2,6,53.0,2
Down,3,7,30.0,3.0
Down,4,7,45.0,4.0
Down,5,7,53.0,5.0
Down,6,8,30.0,6.0
Down,7,8,45.0,1.0
Down,8,8,53.0,2.0
Down,9,9,45.0,7.0
Down,10,9,53.0,3.0
Down,11,10,30.0,4.0
Down,12,10,45.0,5.0
Down,13,10,53.0,1.0
Down,14,11.0,20.0,3.0
Down,15,11,45.0,6.0
Down,16,11.0,50.0,4.0
Down,17,11,53.0,2.0
Down,18,11,57.0,7.0
Down,19,12.0,20.0,5.0
Down,20,12.0,50.0,1.0
Down,21,12.0,53.0,8.0
Down,22,13.0,20.0,3.0
Down,23,13.0,50.0,6.0
Down,24,13.0,53.0,9.0
Down,25,14.0,20.0,4.0
Down,26,14.0,50.0,2.0
Down,27,14.0,57.0,10.0
Down,28,15.0,5.0,7.0
Down,29,15.0,20.0,5.0
Down,30,15.0,45.0,11.0
Down,31,16.0,20.0,1.0
Down,32,16.0,50.0,8.0
Down,33,17.0,5.0,3.0
Down,34,17.0,13.0,6.0
Down,35,18.0,53.0,9.0
Down,36,19.0,45.0,4.0
Down,37,20.0,57.0,2.0
Down,38,21.0,30.0,10.0
Down,39,21.0,45.0,7.0
Down,40,22.0,0.0,5.0
Down,41,22.0,30.0,11.0
Down,42,,Total Buses required:,5.0
Summary,0,,Total Buses required on route:,11.0
