,,Hour,Minutes,Bus Tag
Up,0,4,0,1
Up,1,5,0,2
Up,2,5.0,38.0,3.0
Up,3,5.0,46.0,4.0
Up,4,5.0,54.0,5.0
Up,5,6.0,5.0,6.0
Up,6,6.0,10.0,7.0
Up,7,6.0,15.0,8.0
Up,8,6.0,20.0,9.0
Up,9,6.0,25.0,10.0
Up,10,6.0,30.0,11.0
Up,11,6.0,35.0,12.0
Up,12,6.0,40.0,13.0
Up,13,6.0,45.0,14.0
Up,14,6.0,50.0,15.0
Up,15,7.0,5.0,16.0
Up,16,7.0,10.0,17.0
Up,17,7.0,15.0,18.0
Up,18,7.0,20.0,19.0
Up,19,7.0,25.0,20.0
Up,20,7.0,30.0,21.0
Up,21,7.0,35.0,22.0
Up,22,7.0,40.0,23.0
Up,23,7.0,45.0,24.0
Up,24,7.0,50.0,25.0
Up,25,8.0,10.0,26.0
Up,26,8.0,20.0,27.0
Up,27,8.0,30.0,28.0
Up,28,8.0,40.0,29.0
Up,29,8.0,50.0,30.0
Up,30,9.0,10.0,31.0
Up,31,9.0,20.0,32.0
Up,32,9.0,30.0,33.0
Up,33,9.0,40.0,34.0
Up,34,9.0,50.0,35.0
Up,35,10.0,12.0,36.0
Up,36,10.0,24.0,37.0
Up,37,10.0,36.0,38.0
Up,38,10.0,48.0,39.0
Up,39,11.0,10.0,40.0
Up,40,11.0,20.0,41.0
Up,41,11.0,30.0,42.0
Up,42,11.0,40.0,43.0
Up,43,11.0,50.0,44.0
Up,44,12.0,10.0,45.0
Up,45,12.0,20.0,46.0
Up,46,12.0,30.0,47.0
Up,47,12.0,40.0,48.0
Up,48,12.0,50.0,49.0
Up,49,13.0,15.0,50.0
Up,50,13.0,30.0,51.0
Up,51,13.0,45.0,52.0
Up,52,14.0,12.0,53.0
Up,53,14.0,24.0,54.0
Up,54,14.0,36.0,55.0
Up,55,14.0,48.0,56.0
Up,56,15.0,30.0,57.0
Up,57,16.0,15.0,58.0
Up,58,16.0,30.0,59.0
Up,59,16.0,45.0,60.0
Up,60,17.0,30.0,61.0
Up,61,18.0,15.0,62.0
Up,62,18.0,30.0,63.0
Up,63,18.0,45.0,64.0
Up,64,19.0,12.0,65.0
Up,65,19.0,24.0,66.0
Up,66,19.0,36.0,67.0
Up,67,19.0,48.0,68.0
Up,68,20.0,30.0,69.0
Up,69,21.0,20.0,70.0
Up,70,21.0,40.0,71.0
Up,71,22.0,30.0,72.0
Up,72,,Total Buses required:,71.0
Down,0,4,0,2
Down,1,,Total Buses required:,1.0
Summary,0,,Total Buses required on route:,72.0
